username,natives,learning
helvetica8,Spanish (Spain),"English (US),German"
azulceleste,Spanish (Mexico),"English (US),Japanese,Korean"
marah6653,Arabic,English (US)
xhulksmashx,English (US),Spanish (Chile)
ArielSHANGGUAN,Simplified Chinese (China),English (US)
Alili,Russian,"English (US),French (France),Japanese"
Sonnguyen,"Japanese,Vietnamese","English (US),Simplified Chinese (China)"
tahirfarooq,Urdu,English (UK)
Lagville,Spanish (Spain),Japanese
Michelle04064,"English (UK),English (US),Traditional Chinese (Taiwan)","French (France),Japanese,Korean"
ezbie,"English (US),Portuguese (Brazil)","German,Spanish (Spain)"
ad44x,Arabic,English (US)
liyadouglas,English (US),Korean
SamuelSmith,Portuguese (Brazil),"English (US),Japanese"
maria036,Indonesian,"Korean,Simplified Chinese (China)"
AndyLy,Russian,Finnish
ginellyov,Spanish (Chile),Korean
VicMartinezJr1,English (US),Japanese
Kuroco,Korean,"English (US),Japanese"
kshaiono,Spanish (Spain),"English (US),Japanese"
liliamcastellanos,Spanish (Venezuela),"English (UK),English (US),French (France),Italian"
tayjoy_17,"English (US),French (Canada)","Korean,Spanish (Mexico),Thai"
Eso5,Spanish (Mexico),"English (US),Japanese"
millaengland,Traditional Chinese (Taiwan),English (UK)
dangib,Simplified Chinese (China),"English (US),Japanese"
MariaCamila28,Spanish (Spain),Korean
Punkyst,Portuguese (Brazil),Japanese
hqs,Polish,"English (UK),Norwegian (bokmal)"
LucyPark123,Spanish (Spain),Korean
Hunter9,Korean,English (US)
AnaSturz,Portuguese (Brazil),English (US)
sunnnnnnn,Korean,English (US)
Fr0y0,English (US),Korean
Cdamaris,English (US),English (US)
Valls,Spanish (Venezuela),English (US)
alexisj487,English (US),Japanese
nemo95,Russian,English (US)
diece,"English (US),French (France)",Korean
hckarlos,Portuguese (Brazil),Japanese
shidonii,English (US),"Japanese,Korean"
CHENWENKANG,"English (US),Simplified Chinese (China)",English (US)
meliscam56,Spanish (Spain),Korean
zarigueyam,Spanish (Spain),Korean
Saoli,Japanese,English (UK)
7vv,Arabic,"English (US),Japanese"
didday89,Portuguese (Brazil),English (US)
bomigarcia675,Spanish (Mexico),"English (US),Japanese,Korean"
MaiLee,French (France),Korean
angiecgp,Spanish (Spain),"English (US),French (France)"
josetheodoro1,"English (US),Portuguese (Brazil)","French (France),German,Russian"
ferrum86813,Traditional Chinese (Taiwan),Japanese
VanessaParraga,Spanish (Mexico),"English (US),Japanese,Korean"
Takanobu,Japanese,English (US)
batuhanbproduction,Turkish,Ukrainian
Dhoomy3144,Arabic,English (US)
rahiruilova22,Spanish (Spain),Japanese
hail29,English (US),"French (France),Russian"
WillyamCortez,Portuguese (Portugal),English (US)
Haru01,"Spanish (Venezuela),English (US)",Korean
thiagovsmarques,Portuguese (Brazil),English (US)
momanmahmud691,Arabic,English (UK)
ChangYungZhang,Traditional Chinese (Taiwan),Japanese
YUHANJOE_,Traditional Chinese (Taiwan),"English (US),Korean"
LlIi,Simplified Chinese (China),"English (US),Japanese"
yu117566,English (US),"English (US),Japanese"
adrianacmedeiros,Portuguese (Brazil),"English (US),Italian,Spanish (Spain)"
kroom,English (US),English (US)
walter12345,Spanish (Spain),English (US)
Martinnavas,Spanish (Spain),English (UK)
AriannaKilka,Spanish (Mexico),English (US)
lizzye291,Portuguese (Brazil),English (US)
ivanayxu,English (US),German
larissaaaa,"Portuguese (Portugal),English (US)",Korean
joannaxie,Korean,Traditional Chinese (Taiwan)
laurapessoa,Portuguese (Brazil),"English (US),French (France),Icelandic,Japanese,Latin,Russian,Simplified Chinese (China),Swedish"
atavist,Russian,English (US)
yamilasosarodriguez,Spanish (Spain),English (US)
Whitedge,Spanish (Colombia),"English (US),Japanese,Traditional Chinese (Hong Kong)"
Rennea,English (UK),"Korean,German"
cendihila,"Albanian,German","Albanian,English (US),Japanese,Korean"
mikikoema,Japanese,English (US)
Ntp1991,English (US),English (US)
Brenndah,Portuguese (Brazil),Korean
arialeaa,English (US),"Korean,Japanese"
FirmanAlisyahbana,"Indonesian,Javanese","English (UK),Japanese"
Gabi1029,Portuguese (Brazil),"English (US),French (France),Japanese,Korean"
llana0,Arabic,English (US)
ejk9,English (US),"Japanese,Korean"
Emmaswan,Simplified Chinese (China),English (US)
caline_vagc,Spanish (Mexico),"English (US),Japanese,Korean"
alenilsonjesussantos,Portuguese (Portugal),English (US)
alasmari454555,Arabic,Portuguese (Brazil)
nicol12345,Spanish (Spain),Spanish (Spain)
Arcaderz,English (US),Japanese
Shikoo,"Arabic,English (US)",German
romina55,Spanish (Spain),Korean
FJT,Japanese,English (US)
EmilyRJ,Spanish (Spain),English (US)
donnyexodo,Portuguese (Brazil),English (UK)
ingrid0116,English (US),Korean
Apfelkuchentee,German,Japanese
switchi,Arabic,English (US)
Hartur,Portuguese (Brazil),English (UK)
jayliou,Traditional Chinese (Taiwan),English (US)
Alejaandroo20,Spanish (Spain),English (US)
hiroyuki-araki,Japanese,English (US)
akiohyeah,Hawaiian,English (US)
akiohyeah,Hawaiian,English (US)
IsaacM,Spanish (Spain),English (US)
Nakhid,Russian,Azeri
monsters,Simplified Chinese (China),English (US)
Xaxa,Portuguese (Brazil),"Japanese,Korean"
Hibiki0425,Traditional Chinese (Hong Kong),"English (US),German,Japanese"
sandibella2001,Arabic,English (UK)
guilhermeeduardo2003,Portuguese (Brazil),"English (US),Japanese"
edusanmur3,"Portuguese (Brazil),Spanish (Colombia)","English (US),French (France)"
abdom7308,Arabic,English (US)
nicole_love146,"English (US),Tagalog","French (Canada),German,Japanese,Korean,Spanish (Mexico),Traditional Chinese (Hong Kong)"
thirdj,Korean,English (US)
David_ocampo,Spanish (Colombia),English (US)
ArianaQuispe11,Spanish (Spain),Korean
AzuR05,Spanish (Mexico),"English (US),Italian,Russian"
bonicv,Spanish (Spain),"Korean,English (US)"
josenildovirtual,Portuguese (Brazil),"English (US),Korean,Spanish (Spain)"
shada_82,Arabic,"English (US),Japanese,Korean"
Mia-Mia,Russian,Spanish (Spain)
maribelvalencia2005,Spanish (Spain),"English (US),French (France),Italian,Japanese,Korean,Spanish (Chile)"
totaalmamory,Arabic,Turkish
belen87,English (US),"Portuguese (Brazil),Russian"
seyica2606,Spanish (Spain),Korean
NiceVic,Traditional Chinese (Taiwan),"English (US),Japanese"
Madisonjk,English (US),Korean
janet311998,Spanish (Mexico),"Korean,English (US),Japanese"
Yaphets,Simplified Chinese (China),English (US)
dulcineabc18,Spanish (Spain),Korean
katcatfish,"English (US),Spanish (Mexico)","Italian,Japanese"
therealeo,Spanish (Mexico),English (US)
cbispir,Turkish,English (US)
camarajesus2,Spanish (Mexico),Japanese
Ani-chan758,"Spanish (Colombia),Spanish (Spain)",Japanese
SadUnicorn,Spanish (Spain),"English (US),French (France),Japanese,Korean"
Avefenixx2016,Spanish (Spain),"English (US),Portuguese (Brazil),Simplified Chinese (China)"
Fffffffcanffff,Simplified Chinese (China),English (US)
lvyi7,Simplified Chinese (China),"Japanese,English (US)"
begim76,Russian,English (US)
genesisgyq,Spanish (Spain),English (US)
KINGISHERESA,Arabic,English (US)
chaofarmer,Simplified Chinese (China),English (US)
dareka_san,Arabic,"English (US),Japanese"
Iizui,Russian,"English (US),Korean"
yahuhu,Simplified Chinese (China),English (US)
sonidevita7,Indonesian,"English (UK),Japanese"
Toniet,Spanish (Spain),English (UK)
DaiYouSeiSuKi,Simplified Chinese (China),"Japanese,English (UK)"
letitbelilyg,English (US),Japanese
brunocia1,Portuguese (Portugal),"English (US),Polish"
Andrea_Jerez,"English (US),Spanish (Spain)","French (France),Korean,Simplified Chinese (China)"
Surej1989,English (US),Korean
Hassanyousef93,Arabic,English (US)
shrougmoh,Arabic,English (US)
mfrey29,English (US),Norwegian (bokmal)
Irishong2017,Simplified Chinese (China),French (France)
essiemartinez12,English (US),Korean
Maxjhuang,Traditional Chinese (Taiwan),English (US)
dotproduct,Simplified Chinese (China),English (US)
GuginHan,Korean,Japanese
NayaraSchaedler,Portuguese (Brazil),"Arabic,English (US),French (France),German,Italian,Japanese,Russian"
alejomd1996,Spanish (Colombia),English (US)
miiiiisaki,Simplified Chinese (China),Japanese
MenecesAbigail,Spanish (Spain),"English (US),Korean"
Kumajingshu,English (US),English (US)
Sultaaan,Arabic,English (US)
fas0o0l,Arabic,English (US)
Agitated4Matt,Spanish (Mexico),English (US)
mltortasygelatina,Spanish (Venezuela),"Japanese,Korean"
nuriasakura,English (US),Korean
Guuss,Portuguese (Brazil),"English (US),Russian"
Gassd19,English (US),English (US)
antiwords,Portuguese (Portugal),"English (US),Japanese"
EriHernandez,"English (US),Spanish (Spain)","English (US),Japanese,Korean"
cbdirxmaan33,Arabic,English (US)
magnam77,Japanese,English (US)
letinovia,Simplified Chinese (China),Spanish (Spain)
letinovia1973,English (US),English (US)
sunflowerrhayne,English (US),Korean
lily991381,Traditional Chinese (Taiwan),Japanese
__imshino,Japanese,English (US)
komar1302,Arabic,English (US)
letiti,Simplified Chinese (China),Spanish (Spain)
aa616,Spanish (Mexico),"English (US),Japanese"
Dithowrock,Spanish (Chile),"English (UK),English (US)"
Motoyo,Japanese,English (UK)
kithifer1995,Spanish (Spain),Korean
Luiz123,Portuguese (Portugal),English (US)
sarahleeashraf,English (US),Japanese
DanielOyarzo98,Spanish (Chile),English (UK)
fangtianwen,Simplified Chinese (China),Japanese
YukaChiriro,Portuguese (Portugal),Japanese
guanting1117,Traditional Chinese (Taiwan),Japanese
Davidovic,Arabic,English (US)
susycrmi,Spanish (Spain),"English (US),Korean"
jacintoleotehuebr4,Portuguese (Brazil),"English (US),Simplified Chinese (China)"
JaJaShow,Portuguese (Brazil),"English (US),Japanese"
marjorieperry,English (US),Simplified Chinese (China)
Fatina818,Simplified Chinese (China),English (US)
ximena10aguilar,Spanish (Spain),"English (US),Korean"
morumoru,Japanese,Traditional Chinese (Hong Kong)
cuicui,Simplified Chinese (China),Japanese
leolynn,Simplified Chinese (China),"English (US),German"
kbarraq47,Arabic,English (US)
ktiusk06,Spanish (Spain),English (US)
alps,Simplified Chinese (China),English (US)
saaedmagdy20,Arabic,English (US)
paige02,English (US),Japanese
EnjoyTheSilence,Spanish (Mexico),Portuguese (Brazil)
MuMu11,Simplified Chinese (China),Japanese
abrahumcg97,Spanish (Spain),"English (US),Italian,Portuguese (Brazil)"
karrir124,Spanish (Spain),Korean
nataliamis15jzq,Spanish (Spain),Korean
acbabe,Simplified Chinese (China),English (US)
Juhaaa,Korean,English (US)
Layanne,English (US),Spanish (Spain)
osama_77a,English (US),English (US)
julian214,Spanish (Colombia),English (US)
ponde_ponde,Japanese,English (US)
sn1196546764,English (US),Simplified Chinese (China)
loiluoi,Vietnamese,English (US)
gakio,Japanese,English (US)
kimberlygallardo082,Spanish (Spain),English (US)
andersonjc20,Spanish (Spain),English (US)
yoouu,Traditional Chinese (Taiwan),Korean
ThiagoJ,Portuguese (Brazil),English (US)
ohiohii,Simplified Chinese (China),English (US)
ale10assis,Portuguese (Brazil),English (US)
bluexcherry,Korean,"English (US),Spanish (Spain)"
GessicaCastro10,Portuguese (Brazil),"Korean,English (US)"
xmsrainbowx,English (UK),Korean
didibaba,Traditional Chinese (Taiwan),"English (US),Japanese"
grondona94,Spanish (Colombia),"English (US),French (France)"
Nancy12265,Simplified Chinese (China),"English (UK),Japanese"
blueaivi,Portuguese (Portugal),English (US)
Shun1019,Japanese,Spanish (Spain)
Rafa_13,Arabic,English (US)
maleja0205,Spanish (Colombia),English (US)
borarora,Japanese,Traditional Chinese (Taiwan)
wjvalle80,"English (US),Spanish (Colombia)",English (US)
PVasquez,Spanish (Mexico),"English (US),Korean"
gagofernando351,Portuguese (Portugal),English (US)
jaedoen,Arabic,English (US)
NormAngy,Spanish (Mexico),"English (US),French (France)"
jessicapizano,Spanish (Mexico),"English (UK),French (France),Japanese"
NCFF,Simplified Chinese (China),"English (US),Japanese,Korean"
clevertonmanowar,Portuguese (Brazil),English (US)
DanielaAlfaro,Spanish (Chile),"English (US),Korean"
water2290,Simplified Chinese (China),English (US)
w327177819,Simplified Chinese (China),English (US)
nati87,"Spanish (Spain),Spanish (Mexico)","English (US),English (UK)"
Andy80,Spanish (Mexico),English (US)
ltocsjdb,Arabic,Turkish
tangmoromeo,Thai,English (US)
JulioNunez,Spanish (Mexico),"English (US),French (Canada),French (France)"
BuCunZaiDe,Simplified Chinese (China),"Japanese,English (US)"
joana_sanche,Spanish (Spain),"English (US),Japanese"
alihamdallah5,Arabic,English (US)
AnarMuratova,Kazakh,"English (UK),Spanish (Spain)"
tala7777777,Arabic,"English (US),Japanese"
anniemoo562,English (US),Simplified Chinese (China)
kennychou,Traditional Chinese (Taiwan),English (US)
kitkat538,English (US),Korean
JhonElvisSP,Spanish (Mexico),English (US)
EbaKenshin,English (US),English (US)
Soner2487,Spanish (Colombia),"English (US),Hebrew"
luogt0002,Simplified Chinese (China),English (US)
Luisk,Spanish (Mexico),"Japanese,English (US)"
Wjz959929,Simplified Chinese (China),"English (US),English (UK),Japanese"
jos-11,Spanish (Mexico),English (US)
jiuzuidehudie,Simplified Chinese (China),English (US)
makito,Russian,English (US)
LizMV,Spanish (Spain),Korean
Jullie2017,English (US),Portuguese (Brazil)
Smilee_0192,"English (US),Simplified Chinese (China)","Japanese,Korean"
kevinhaberkorn,English (US),"Polish,Swedish"
paomarlen,Spanish (Spain),Korean
aidike,Russian,English (US)
beepbeep27,English (US),"Japanese,Korean,Tagalog"
andyweiFromOhio,Simplified Chinese (China),Japanese
mayabaveja,English (US),Spanish (Spain)
dlee801115,Korean,English (US)
OsoParches,Spanish (Mexico),"English (US),French (France),Italian"
Bonnie8xu,Simplified Chinese (China),English (UK)
gutvas,Spanish (Venezuela),English (US)
matcan90,Vietnamese,Japanese
icetea1221,Traditional Chinese (Taiwan),"English (US),Japanese,Korean"
trkii,Arabic,English (US)
tears96,Simplified Chinese (China),English (US)
karenrmz132,Spanish (Mexico),English (US)
The_Crow735,Arabic,English (US)
aureafrancoandrade,Spanish (Mexico),English (UK)
Emanuel_AG25,"Spanish (Colombia),Spanish (Chile),Spanish (Mexico),Spanish (Spain),Spanish (Venezuela)","English (UK),English (US)"
Min_nekoo,Traditional Chinese (Taiwan),"English (US),Japanese"
Nicolas_Lattour,Spanish (Chile),English (US)
MaRiNxCR,"Spanish (Mexico),English (US)","Japanese,Korean,Portuguese (Brazil),Hebrew"
gazebo,English (US),"Arabic,French (France),Polish,Spanish (Spain),Hindi"
kira_S,Russian,"English (US),Simplified Chinese (China)"
ssCuCa1,Russian,English (US)
adamkaram33,Arabic,English (US)
inicolemarie,English (US),Korean
catherinesu,Simplified Chinese (China),Japanese
Zgx66,Simplified Chinese (China),English (US)
Rijena,"English (US),Tagalog","English (US),Korean"
kurome07,English (US),Japanese
aboad_79,Arabic,English (US)
Arina27,Russian,English (US)
vinteuil131,Japanese,Japanese
greent,Traditional Chinese (Hong Kong),"English (US),Japanese,Thai"
atpttpti,Portuguese (Portugal),"Danish,German,Greek,Hebrew,Persian,Yiddish"
SleykerQ,Spanish (Spain),English (US)
Miss_squishybear,"Traditional Chinese (Hong Kong),English (UK),Traditional Chinese (Taiwan)",Korean
Krisp,Spanish (Mexico),English (US)
ajmairesse,Portuguese (Brazil),"English (US),Norwegian (bokmal)"
jennyluong,English (US),English (US)
karolsolema,Spanish (Mexico),Korean
dashechkak21,Russian,Norwegian (bokmal)
amaurycatelan,Portuguese (Brazil),"English (US),Japanese,Korean"
chapisguadarrama44,Spanish (Spain),French (France)
itgoti,English (US),"Japanese,French (France)"
mike_017,"English (US),Tagalog","English (US),French (Canada),Japanese,Korean,Traditional Chinese (Taiwan)"
israelsuhul,Spanish (Mexico),"English (US),Japanese"
SunHee43422025,Spanish (Mexico),"English (US),Korean,Japanese"
SMNFC_,English (US),English (US)
underheart,Traditional Chinese (Taiwan),Japanese
xxunitydragon,German,English (US)
Nicolas_Antu,Spanish (Spain),"English (US),Japanese"
mencia9,Spanish (Mexico),"English (US),French (France)"
hidiego,Spanish (Spain),"English (US),Korean"
Cherish1ove,Simplified Chinese (China),English (US)
Joyce1019,Simplified Chinese (China),"English (US),Korean"
ladelune,Korean,"English (US),Japanese"
jesus004,Spanish (Colombia),"English (US),French (France),German"
junyueyue,Simplified Chinese (China),"English (US),Japanese"
Meow_Kin,English (US),"French (France),German,Japanese,Norwegian (bokmal)"
2254Azam,Arabic,English (US)
MisterJ190,Portuguese (Portugal),Italian
Norct_Suc,Traditional Chinese (Taiwan),"English (US),German"
matildax,"English (US),Spanish (Mexico)",Japanese
mikasaa,Spanish (Mexico),"English (US),Japanese,Korean,Spanish (Chile),Spanish (Spain)"
asg892,English (US),"French (Canada),Korean"
hhhhhhhhhhhhhhhh,English (US),English (US)
nikkighost,Polish,"English (UK),English (US),French (Canada)"
fat_albert,English (US),"Korean,Japanese"
nkvuphuong,Vietnamese,English (US)
jugni,English (US),English (US)
moralesk455,Spanish (Spain),"English (US),French (France),Japanese"
Aleliz,Spanish (Venezuela),"English (US),French (Canada),Japanese,Korean"
oyukikoji,Spanish (Spain),"English (US),Japanese"
Juannaivon,Spanish (Mexico),English (US)
jcyr,English (US),French (France)
cherrsee,English (US),"Korean,Spanish (Mexico)"
jarushimp,Spanish (Spain),"English (US),French (France),Italian"
JhonatanCastro29,Portuguese (Brazil),Japanese
WilliamYang,Traditional Chinese (Taiwan),"English (US),Japanese"
NaughtyElf,Simplified Chinese (China),English (US)
jadeaceves156,Spanish (Mexico),English (US)
_shahad,Arabic,Japanese
NgocAnh2403,English (US),English (US)
putridina133,Indonesian,"Arabic,Dutch,English (US)"
Yiyayiya,Traditional Chinese (Taiwan),"English (US),Japanese"
yessicad926,"English (US),Spanish (Mexico)","Danish,Japanese,Korean"
yambony,"Spanish (Spain),Spanish (Venezuela)","English (US),Italian,Portuguese (Brazil)"
Gabriel_Alves,Portuguese (Portugal),English (US)
angelawxng,"English (US),Simplified Chinese (China)",Korean
kawaiiuzu,"English (US),Spanish (Mexico),English (UK),Portuguese (Brazil)","Japanese,Korean"
wanyuksim123,Traditional Chinese (Taiwan),Japanese
BonnieSuZhou,Simplified Chinese (China),"English (UK),English (US),Japanese"
mafecol,Spanish (Colombia),"English (US),Polish"
Jhoover,English (US),Hebrew
damianaguero5,Spanish (Chile),Traditional Chinese (Hong Kong)
BilyB,Vietnamese,English (US)
ksufra,Russian,Korean
zerahida,Indonesian,"English (US),German"
Tunimora,Spanish (Mexico),"English (UK),Portuguese (Brazil)"
tarague,English (UK),"French (France),Japanese"
hqyangel,Simplified Chinese (China),English (US)
karen___,Korean,English (US)
xuanxuanbaby123,Simplified Chinese (China),English (US)
victoralmeidap,Portuguese (Brazil),English (US)
rizalwpermana,Indonesian,English (US)
Vidadms,English (US),Korean
patorisas,Spanish (Colombia),English (US)
Jade01,English (US),"Polish,French (Canada),Korean,Russian"
vion125,Traditional Chinese (Taiwan),Korean
12092763,Traditional Chinese (Taiwan),Japanese
Kobe134,English (US),Japanese
alqorashi999,English (US),English (US)
geraltalla2012,Spanish (Spain),"English (US),Korean"
susanli1992,"Simplified Chinese (China),Traditional Chinese (Taiwan)","English (US),Japanese"
SakuritaBlue,Spanish (Colombia),English (US)
fleckzinha,"English (US),Portuguese (Portugal)","English (US),French (France)"
610maho,Japanese,"English (US),Traditional Chinese (Taiwan)"
cherishlove,Simplified Chinese (China),English (US)
Kaylee12,English (US),Korean
zeroten,English (US),Korean
kelall,English (US),Japanese
camilaandreacmc,Spanish (Chile),English (US)
sashaalekseeva10,Russian,"English (UK),French (France),German,Japanese"
maham119mad,Arabic,English (US)
lucuma,Japanese,"English (US),Spanish (Spain)"
kellybjqs,Traditional Chinese (Taiwan),"English (US),Japanese"
nachaann,Japanese,English (US)
gulanconi12,Portuguese (Portugal),Russian
giulioguilherme,Portuguese (Brazil),"English (US),Japanese"
Tonyjai,Traditional Chinese (Hong Kong),English (US)
DCCorner,Traditional Chinese (Taiwan),"English (US),Japanese,Korean,Traditional Chinese (Hong Kong)"
botus,Spanish (Mexico),"English (US),French (France),Simplified Chinese (China)"
Elena_gri,Russian,English (US)
lemonade555,Japanese,English (US)
alejandromora2685,Spanish (Colombia),English (US)
Chenqi,Simplified Chinese (China),English (US)
xibalba,"English (US),Hawaiian","Japanese,Korean"
skatherindavila35,Spanish (Spain),"English (US),Korean"
U170390,Japanese,English (US)
chyi64,Simplified Chinese (China),Japanese
shtoiri,Japanese,"English (US),Korean"
kermal,Traditional Chinese (Taiwan),Japanese
vasilisastrogaia,Russian,English (US)
moyoyon,Japanese,English (US)
natthagy,Spanish (Spain),English (US)
wewx,Arabic,English (US)
garciaaleezero1,Spanish (Spain),Korean
Nazonozonoya,"English (US),Spanish (Mexico)","Japanese,Korean"
joseluispalmapiguave,Spanish (Mexico),"English (US),Japanese"
NNatto,Thai,Japanese
viki_,Russian,"Danish,English (US),Korean"
PalomaOb,"English (US),Spanish (Mexico)",Japanese
KateRussia,Russian,English (US)
anichini,Portuguese (Brazil),"English (US),Japanese"
Nanda75,Italian,English (US)
sandovaltorres65,Spanish (Spain),"English (US),Japanese"
w790924,Korean,"English (US),Simplified Chinese (China)"
pmoc,Japanese,English (US)
vancongnguyenhcmute,Vietnamese,English (US)
MinaOhOK,"English (US),Spanish (Mexico)",Korean
Xiaoruo12,Simplified Chinese (China),English (US)
hikari1031,English (US),English (US)
mohammadzm938,Arabic,English (US)
summerlyn,English (US),Spanish (Mexico)
jonathanarturo13,Spanish (Spain),Japanese
cheriemau,Russian,English (UK)
SraBi,Arabic,"English (UK),English (US),Japanese,Korean"
jazminV,Spanish (Mexico),English (US)
whynotflawless,Polish,"English (UK),Japanese,Spanish (Venezuela)"
AhnaAlexander,English (US),Japanese
jonathantorresjoel,Spanish (Mexico),Japanese
yiijing,Traditional Chinese (Taiwan),Korean
CammyB2017,English (US),Japanese
m8033m,Arabic,English (US)
lisandro9734,"Spanish (Mexico),Spanish (Colombia),Spanish (Venezuela)","English (UK),English (US)"
flakithazh,Spanish (Mexico),English (US)
F9ooooLeee,Arabic,English (US)
rhelmy306,Arabic,"Japanese,Korean"
pengjivia,English (US),English (US)
Gihoe,Tagalog,Korean
baasha71,Arabic,English (US)
jimmyamun,Traditional Chinese (Taiwan),Korean
cat020484,Traditional Chinese (Taiwan),"Japanese,Korean"
Petrorussuan,Russian,English (US)
Panicha,"English (US),Thai",English (US)
vaibhavpowar81,English (US),"English (UK),English (US)"
mgonzalesquinones,Spanish (Spain),"English (US),Korean"
Hedwig,"English (US),Simplified Chinese (China)","English (UK),English (US)"
_itsnotalex_,Spanish (Spain),"English (UK),English (US)"
formosa858,Traditional Chinese (Taiwan),English (US)
Jeremy1012,"English (US),Spanish (Spain)","English (US),Spanish (Spain)"
Lucy6,Simplified Chinese (China),"English (UK),English (US)"
jhonfpedroza,"Spanish (Colombia),Spanish (Spain)","English (US),Portuguese (Brazil),Japanese"
friendiverx,"English (US),Traditional Chinese (Taiwan)","English (UK),English (US)"
Jeanie00,Traditional Chinese (Taiwan),"Japanese,English (US)"
suunmi16,Spanish (Spain),English (US)
alien0612bts,Turkish,"English (US),Korean"
monseguevara007,Spanish (Mexico),English (US)
fantasygwen,English (US),"Korean,French (France),Japanese,Spanish (Mexico)"
Superay,Simplified Chinese (China),English (US)
chivaz31609,Tagalog,English (US)
Hoon777,Korean,English (US)
MatheusSaulo,Portuguese (Brazil),"English (US),French (France),Japanese,Portuguese (Portugal)"
JenisLau,English (US),"Korean,Traditional Chinese (Taiwan)"
AmKasgarli,Arabic,English (US)
sop,Korean,English (US)
brittnyydaniellaa,English (US),"Japanese,Korean,Tagalog"
NoemiCarreto,Spanish (Mexico),"English (US),Italian"
Izamaria96,Spanish (Mexico),"English (US),Korean"
Bendite,English (US),Korean
zulaa331,Polish,"Czech,English (UK),English (US),French (Canada),French (France)"
nika15,Russian,English (US)
meggiekcaf,Spanish (Colombia),"English (US),Korean"
1406038831,Simplified Chinese (China),"English (US),Japanese"
KimDaniela,Spanish (Spain),"English (US),French (France),Japanese,Korean"
ashleysanciz,English (UK),English (US)
allerc,Spanish (Mexico),"English (UK),English (US)"
delmont,"Korean,Japanese","English (US),Japanese"
hunte11,Simplified Chinese (China),"English (US),English (UK)"
EileenHuang7,Traditional Chinese (Taiwan),"French (France),Japanese,Korean"
deenaaa,English (US),"Japanese,Korean"
marroslun,Spanish (Spain),English (US)
ychuang1001,Simplified Chinese (China),English (US)
Bomshal22,Arabic,English (US)
incanty16,Spanish (Mexico),English (US)
sophiaviolette,English (US),"Arabic,French (France),Japanese,Korean"
enad18,Arabic,English (US)
JoyceNi,Traditional Chinese (Taiwan),"English (UK),English (US),German,Japanese,French (France)"
eliaszeitounian,"English (US),Spanish (Mexico)","English (US),Spanish (Mexico)"
ol_2000,Russian,English (US)
Valeria0309,Spanish (Mexico),Korean
Nigma,Russian,English (UK)
kaizen03,Spanish (Mexico),"English (US),Armenian,Greek,Japanese,Korean"
djiggo,Russian,English (US)
Hokuto_no_otoko,English (US),Japanese
rubenchi_1,Spanish (Mexico),"English (US),Japanese"
kizzinaila,Portuguese (Brazil),"English (US),French (France),Korean"
adel999h,Arabic,Spanish (Mexico)
Kim2018,Simplified Chinese (China),"English (US),Japanese,Korean"
Wifty,English (US),"Korean,Spanish (Mexico),Simplified Chinese (China)"
manchingleungmcl,Traditional Chinese (Hong Kong),"English (UK),English (US)"
dimple_3769,Japanese,"English (US),German"
a25791070,"English (US),Traditional Chinese (Taiwan)","English (US),Japanese"
chiuani,Traditional Chinese (Taiwan),English (US)
Nyny19,French (France),"English (US),Japanese,Korean"
AimeeSa,Portuguese (Brazil),"English (US),Japanese"
dufernandes,Portuguese (Portugal),Japanese
Bud,Portuguese (Brazil),English (US)
alexiachasez,Portuguese (Brazil),"English (US),Japanese"
saraloveplant,Traditional Chinese (Taiwan),"English (US),Japanese"
Stella100,Thai,Japanese
yourcoloring,"English (UK),English (US)",English (US)
arohdv3,Spanish (Mexico),"Dutch,English (UK),English (US),French (Canada),French (France),German,Italian,Japanese,Latin,Portuguese (Brazil),Portuguese (Portugal),Russian"
Joyleen,"English (US),Indonesian,Simplified Chinese (China)","French (France),Japanese"
AndyBances,Spanish (Spain),English (UK)
talal77,Arabic,English (US)
kunalchauhan9718,Hindi,"English (UK),English (US)"
mollyabcede,"English (US),Tagalog","French (France),Korean,Spanish (Spain)"
mice8851021,Traditional Chinese (Taiwan),Japanese
nicol092002,Spanish (Spain),Japanese
kentor593,Spanish (Colombia),"English (US),Italian"
minya97,Simplified Chinese (China),English (US)
ericaquintero1025,English (US),Japanese
bipipoppo,Simplified Chinese (China),Japanese
wangbenfeng,Simplified Chinese (China),Japanese
AisuluTass,"Kazakh,Russian","English (US),Japanese"
allison250297,Spanish (Spain),"English (US),French (France),German"
liftmode,Japanese,English (UK)
L4k3,Portuguese (Brazil),"English (US),Japanese"
ExDe,Russian,"English (US),Korean"
ngocthuynhile,Vietnamese,English (US)
glassboy257,Spanish (Mexico),"Japanese,German,French (France),English (US)"
owadomorek,Polish,Czech
watashiwairmx,Malay,"Japanese,Korean"
nissy55,English (US),English (US)
2017wool,Japanese,"English (US),French (France),Spanish (Spain)"
gunatti,Italian,"English (UK),French (France)"
olegtashanov68,Russian,"English (US),Norwegian (nynorsk)"
tydykova9788,Russian,English (US)
jinling2017,Simplified Chinese (China),Japanese
soos,Arabic,English (US)
erinelise17,English (US),"Korean,Spanish (Mexico)"
mavies,Traditional Chinese (Taiwan),Japanese
Lunar_Field,Spanish (Mexico),"English (US),Japanese"
Txiki,Simplified Chinese (China),"Spanish (Spain),Serbian,English (US)"
Kseseniya,Russian,English (US)
CJ1,English (US),Haitian Creole
Emily_01,"English (US),Spanish (Mexico)","Japanese,Korean"
